"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"GET /users/:username also matches the user JSON schema.","0","test_public_user_response_schema","tests","2026-07-29","failed","2026-07-29","TestUsers","test_users","",""
"POST /repos/:owner/:repo/issues/:number/labels adds labels.","0","test_add_label_to_issue","tests","2026-07-29","failed","2026-07-29","TestIssues","test_issues","",""
"Repo creation fixture should have produced a valid repo name.","0","test_create_repo_returns_201","tests","2026-07-29","failed","2026-07-29","TestRepositories","test_repositories","",""
"GET /repos/:owner/:repo with bogus names returns 404.","99","test_get_nonexistent_repo_returns_404","tests","2026-07-29","failed","2026-07-29","TestRepositories","test_repositories","",""
"GET /users/:username/repos returns a list.","0","test_list_user_repos","tests","2026-07-29","failed","2026-07-29","TestUsers","test_users","",""
"GET /repos/:owner/:repo/issues/:number matches the issue JSON schema.","0","test_get_issue_response_schema","tests","2026-07-29","failed","2026-07-29","TestIssues","test_issues","",""
"GET /user without any credentials returns 401.","114","test_no_auth_returns_401_for_private_endpoint","tests","2026-07-29","passed","2026-07-29","TestAuthentication","test_auth","",""
"404 responses include a message field in the body.","109","test_nonexistent_user_response_has_message","tests","2026-07-29","failed","2026-07-29","TestUsers","test_users","",""
"A request with a garbage token should be rejected.","112","test_invalid_token_returns_401","tests","2026-07-29","passed","2026-07-29","TestAuthentication","test_auth","",""
"When results are paginated, the response includes a Link header.","115","test_repos_pagination_link_header","tests","2026-07-29","failed","2026-07-29","TestRepositories","test_repositories","",""
"POST /repos/:owner/:repo/issues/:number/comments adds a comment.","0","test_add_comment_to_issue","tests","2026-07-29","failed","2026-07-29","TestIssues","test_issues","",""
"GET /user response matches the user JSON schema.","102","test_authenticated_user_response_schema","tests","2026-07-29","failed","2026-07-29","TestUsers","test_users","",""
"GET /repos/:owner/:repo matches the repository JSON schema.","0","test_get_repo_response_schema","tests","2026-07-29","failed","2026-07-29","TestRepositories","test_repositories","",""
"Sanity check — a valid token should succeed.","116","test_valid_token_returns_200","tests","2026-07-29","failed","2026-07-29","TestAuthentication","test_auth","",""
"GET /repos/:owner/:repo/issues/99999 returns 404.","0","test_get_nonexistent_issue_returns_404","tests","2026-07-29","failed","2026-07-29","TestIssues","test_issues","",""
"GET /users/:username/following returns a list.","0","test_list_user_following","tests","2026-07-29","failed","2026-07-29","TestUsers","test_users","",""
"POST /repos/:owner/:repo/issues without a title returns 422.","0","test_create_issue_without_title_returns_422","tests","2026-07-29","failed","2026-07-29","TestIssues","test_issues","",""
"PATCH /repos/:owner/:repo successfully updates the description.","0","test_update_repo_description","tests","2026-07-29","failed","2026-07-29","TestRepositories","test_repositories","",""
