"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"GET /users/:username with a bogus username returns 404.","38","test_get_nonexistent_user_returns_404","tests","2026-07-30","passed","2026-07-30","TestUsers","test_users","",""
"404 responses include a message field in the body.","44","test_nonexistent_user_response_has_message","tests","2026-07-30","passed","2026-07-30","TestUsers","test_users","",""
"A completely malformed Authorization header should be rejected.","41","test_malformed_auth_header_returns_401","tests","2026-07-30","passed","2026-07-30","TestAuthentication","test_auth","",""
"PATCH /repos/:owner/:repo/issues/:number can update the title.","472","test_update_issue_title","tests","2026-07-30","passed","2026-07-30","TestIssues","test_issues","",""
"GET /repos/:owner/:repo/issues/99999 returns 404.","85","test_get_nonexistent_issue_returns_404","tests","2026-07-30","passed","2026-07-30","TestIssues","test_issues","",""
"POST /repos/:owner/:repo/issues without a title returns 422.","79","test_create_issue_without_title_returns_422","tests","2026-07-30","passed","2026-07-30","TestIssues","test_issues","",""
"GET /repos/:owner/:repo matches the repository JSON schema.","0","test_get_repo_response_schema","tests","2026-07-30","failed","2026-07-30","TestRepositories","test_repositories","",""
"DELETE /repos/:owner/:repo returns 204 No Content.","161","test_delete_repo_returns_204","tests","2026-07-30","failed","2026-07-30","TestRepositories","test_repositories","",""
"GET /users/:username/repos returns a list.","140","test_list_user_repos","tests","2026-07-30","passed","2026-07-30","TestUsers","test_users","",""
"GET /user response matches the user JSON schema.","75","test_authenticated_user_response_schema","tests","2026-07-30","passed","2026-07-30","TestUsers","test_users","",""
"Even unauthenticated requests include rate-limit headers.","41","test_rate_limit_headers_on_unauthenticated_request","tests","2026-07-30","passed","2026-07-30","TestAuthentication","test_auth","",""
"POST /repos/bad-user/bad-repo/issues returns 404.","41","test_create_issue_on_nonexistent_repo_returns_404","tests","2026-07-30","passed","2026-07-30","TestIssues","test_issues","",""
"The authenticated user payload must contain a login field.","0","test_authenticated_user_has_login","tests","2026-07-30","passed","2026-07-30","TestUsers","test_users","",""
