"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"GET /users/:username/followers returns a list.","110","test_list_user_followers","tests","2026-08-14","passed","2026-08-14","TestUsers","test_users","",""
"GET /user without any credentials returns 401.","209","test_no_auth_returns_401_for_private_endpoint","tests","2026-08-14","passed","2026-08-14","TestAuthentication","test_auth","",""
"","0","test_writes_are_paced_but_reads_are_not","tests","2026-08-14","passed","2026-08-14","TestRetryBehaviour","test_rate_limiting","",""
"POST /repos/:owner/:repo/issues/:number/comments adds a comment.","1165","test_add_comment_to_issue","tests","2026-08-14","passed","2026-08-14","TestIssues","test_issues","",""
"","0","test_ordinary_statuses_are_not_rate_limits[422]","tests","2026-08-14","passed","2026-08-14","TestRateLimitDetection","test_rate_limiting","",""
"","0","test_ordinary_statuses_are_not_rate_limits[401]","tests","2026-08-14","passed","2026-08-14","TestRateLimitDetection","test_rate_limiting","",""
"Creating a repo with the same name as an existing one returns 422.","1032","test_create_duplicate_repo_returns_422","tests","2026-08-14","passed","2026-08-14","TestRepositories","test_repositories","",""
"","0","test_exhausted_primary_limit_is_detected","tests","2026-08-14","passed","2026-08-14","TestRateLimitDetection","test_rate_limiting","",""
"POST /repos/:owner/:repo/issues/:number/labels adds labels.","2191","test_add_label_to_issue","tests","2026-08-14","passed","2026-08-14","TestIssues","test_issues","",""
"When results are paginated, the response includes a Link header.","167","test_repos_pagination_link_header","tests","2026-08-14","passed","2026-08-14","TestRepositories","test_repositories","",""
"","0","test_ordinary_statuses_are_not_rate_limits[200]","tests","2026-08-14","passed","2026-08-14","TestRateLimitDetection","test_rate_limiting","",""
"GET /users/:username/following returns a list.","112","test_list_user_following","tests","2026-08-14","passed","2026-08-14","TestUsers","test_users","",""
"Even unauthenticated requests include rate-limit headers.","190","test_rate_limit_headers_on_unauthenticated_request","tests","2026-08-14","passed","2026-08-14","TestAuthentication","test_auth","",""
"GET /users/:username/repos returns a list.","260","test_list_user_repos","tests","2026-08-14","passed","2026-08-14","TestUsers","test_users","",""
"GET /repos/:owner/:repo matches the repository JSON schema.","193","test_get_repo_response_schema","tests","2026-08-14","passed","2026-08-14","TestRepositories","test_repositories","",""
"Sanity check — a valid token should succeed.","313","test_valid_token_returns_200","tests","2026-08-14","passed","2026-08-14","TestAuthentication","test_auth","",""
