"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_ordinary_statuses_are_not_rate_limits[200]","tests","2026-08-08","passed","2026-08-08","TestRateLimitDetection","test_rate_limiting","",""
"GET /users/:username with a bogus username returns 404.","117","test_get_nonexistent_user_returns_404","tests","2026-08-08","passed","2026-08-08","TestUsers","test_users","",""
"GET /repos/:owner/:repo/issues?state=closed returns only closed issues.","328","test_list_issues_filter_by_state","tests","2026-08-08","passed","2026-08-08","TestIssues","test_issues","",""
"A completely malformed Authorization header should be rejected.","165","test_malformed_auth_header_returns_401","tests","2026-08-08","passed","2026-08-08","TestAuthentication","test_auth","",""
"GET /repos/:owner/:repo/issues/99999 returns 404.","147","test_get_nonexistent_issue_returns_404","tests","2026-08-08","passed","2026-08-08","TestIssues","test_issues","",""
"Sanity check — a valid token should succeed.","266","test_valid_token_returns_200","tests","2026-08-08","passed","2026-08-08","TestAuthentication","test_auth","",""
"Creating a repo with the same name as an existing one returns 422.","1007","test_create_duplicate_repo_returns_422","tests","2026-08-08","passed","2026-08-08","TestRepositories","test_repositories","",""
"","0","test_ordinary_statuses_are_not_rate_limits[404]","tests","2026-08-08","passed","2026-08-08","TestRateLimitDetection","test_rate_limiting","",""
"GET /user/repos returns a list for authenticated users.","717","test_get_authenticated_user_repos","tests","2026-08-08","passed","2026-08-08","TestRepositories","test_repositories","",""
"GET /user returns 200 for an authenticated user.","252","test_get_authenticated_user_returns_200","tests","2026-08-08","passed","2026-08-08","TestUsers","test_users","",""
"GET /repos/:owner/:repo/issues/:number matches the issue JSON schema.","218","test_get_issue_response_schema","tests","2026-08-08","passed","2026-08-08","TestIssues","test_issues","",""
"GET /users/:username also matches the user JSON schema.","173","test_public_user_response_schema","tests","2026-08-08","passed","2026-08-08","TestUsers","test_users","",""
"GET /repos/:owner/:repo matches the repository JSON schema.","246","test_get_repo_response_schema","tests","2026-08-08","passed","2026-08-08","TestRepositories","test_repositories","",""
"Setting per_page limits the number of repos returned.","250","test_repos_pagination_per_page","tests","2026-08-08","passed","2026-08-08","TestRepositories","test_repositories","",""
"GET /users/:username/following returns a list.","157","test_list_user_following","tests","2026-08-08","passed","2026-08-08","TestUsers","test_users","",""
"POST /user/repos without a name field returns 422.","536","test_create_repo_without_name_returns_422","tests","2026-08-08","passed","2026-08-08","TestRepositories","test_repositories","",""
