"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Setting per_page limits the number of repos returned.","149","test_repos_pagination_per_page","tests","2026-07-30","passed","2026-07-30","TestRepositories","test_repositories","",""
"Creating a repo with the same name as an existing one returns 422.","0","test_create_duplicate_repo_returns_422","tests","2026-07-30","failed","2026-07-30","TestRepositories","test_repositories","",""
"GET /repos/:owner/:repo with bogus names returns 404.","74","test_get_nonexistent_repo_returns_404","tests","2026-07-30","passed","2026-07-30","TestRepositories","test_repositories","",""
"GET /users/:username/repos returns a list.","182","test_list_user_repos","tests","2026-07-30","passed","2026-07-30","TestUsers","test_users","",""
"Every authenticated response should include rate-limit headers.","306","test_response_includes_rate_limit_headers","tests","2026-07-30","passed","2026-07-30","TestRepositories","test_repositories","",""
"A completely malformed Authorization header should be rejected.","94","test_malformed_auth_header_returns_401","tests","2026-07-30","passed","2026-07-30","TestAuthentication","test_auth","",""
"Even unauthenticated requests include rate-limit headers.","110","test_rate_limit_headers_on_unauthenticated_request","tests","2026-07-30","passed","2026-07-30","TestAuthentication","test_auth","",""
"When results are paginated, the response includes a Link header.","151","test_repos_pagination_link_header","tests","2026-07-30","passed","2026-07-30","TestRepositories","test_repositories","",""
"POST /repos/:owner/:repo/issues/:number/comments adds a comment.","0","test_add_comment_to_issue","tests","2026-07-30","failed","2026-07-30","TestIssues","test_issues","",""
"GET /user returns 200 for an authenticated user.","101","test_get_authenticated_user_returns_200","tests","2026-07-30","passed","2026-07-30","TestUsers","test_users","",""
"Repo creation fixture should have produced a valid repo name.","0","test_create_repo_returns_201","tests","2026-07-30","failed","2026-07-30","TestRepositories","test_repositories","",""
"POST /user/repos without a name field returns 422.","117","test_create_repo_without_name_returns_422","tests","2026-07-30","failed","2026-07-30","TestRepositories","test_repositories","",""
"Unauthorized responses include a documentation_url for debugging.","101","test_401_response_has_documentation_url","tests","2026-07-30","passed","2026-07-30","TestAuthentication","test_auth","",""
"POST /repos/:owner/:repo/issues without a title returns 422.","0","test_create_issue_without_title_returns_422","tests","2026-07-30","failed","2026-07-30","TestIssues","test_issues","",""
"GET /users/:username returns the same user info.","101","test_get_user_by_username","tests","2026-07-30","passed","2026-07-30","TestUsers","test_users","",""
"Unauthorized responses include a human-readable message.","94","test_401_response_has_message","tests","2026-07-30","passed","2026-07-30","TestAuthentication","test_auth","",""
"The authenticated user payload must contain a login field.","0","test_authenticated_user_has_login","tests","2026-07-30","passed","2026-07-30","TestUsers","test_users","",""
"GET /users/:username/followers returns a list.","103","test_list_user_followers","tests","2026-07-30","passed","2026-07-30","TestUsers","test_users","",""
"GET /user without any credentials returns 401.","124","test_no_auth_returns_401_for_private_endpoint","tests","2026-07-30","passed","2026-07-30","TestAuthentication","test_auth","",""
"A request with a garbage token should be rejected.","104","test_invalid_token_returns_401","tests","2026-07-30","passed","2026-07-30","TestAuthentication","test_auth","",""
"POST /repos/bad-user/bad-repo/issues returns 404.","80","test_create_issue_on_nonexistent_repo_returns_404","tests","2026-07-30","passed","2026-07-30","TestIssues","test_issues","",""
"GET /repos/:owner/:repo/issues/99999 returns 404.","0","test_get_nonexistent_issue_returns_404","tests","2026-07-30","failed","2026-07-30","TestIssues","test_issues","",""
"PATCH /repos/:owner/:repo successfully updates the description.","0","test_update_repo_description","tests","2026-07-30","failed","2026-07-30","TestRepositories","test_repositories","",""
"GET /user response matches the user JSON schema.","131","test_authenticated_user_response_schema","tests","2026-07-30","passed","2026-07-30","TestUsers","test_users","",""
"Public endpoints like /zen work without auth.","153","test_unauthenticated_public_endpoint_returns_200","tests","2026-07-30","passed","2026-07-30","TestAuthentication","test_auth","",""
"GET /users/:username/following returns a list.","83","test_list_user_following","tests","2026-07-30","passed","2026-07-30","TestUsers","test_users","",""
"DELETE /repos/:owner/:repo returns 204 No Content.","234","test_delete_repo_returns_204","tests","2026-07-30","failed","2026-07-30","TestRepositories","test_repositories","",""
"GET /repos/:owner/:repo/issues/:number matches the issue JSON schema.","140","test_get_issue_response_schema","tests","2026-07-30","passed","2026-07-30","TestIssues","test_issues","",""
"GET /users/:username also matches the user JSON schema.","107","test_public_user_response_schema","tests","2026-07-30","passed","2026-07-30","TestUsers","test_users","",""
"GET /users/:username with a bogus username returns 404.","63","test_get_nonexistent_user_returns_404","tests","2026-07-30","passed","2026-07-30","TestUsers","test_users","",""
"Responses should return application/json content type.","279","test_response_content_type_is_json","tests","2026-07-30","passed","2026-07-30","TestRepositories","test_repositories","",""
"GET /user/repos returns a list for authenticated users.","361","test_get_authenticated_user_repos","tests","2026-07-30","passed","2026-07-30","TestRepositories","test_repositories","",""
