"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"GET /repos/:owner/:repo/issues/:number matches the issue JSON schema.","130","test_get_issue_response_schema","tests","2026-07-29","passed","2026-07-29","TestIssues","test_issues","",""
"Unauthorized responses include a documentation_url for debugging.","104","test_401_response_has_documentation_url","tests","2026-07-29","passed","2026-07-29","TestAuthentication","test_auth","",""
"Every authenticated response should include rate-limit headers.","309","test_response_includes_rate_limit_headers","tests","2026-07-29","passed","2026-07-29","TestRepositories","test_repositories","",""
"Unauthorized responses include a human-readable message.","110","test_401_response_has_message","tests","2026-07-29","passed","2026-07-29","TestAuthentication","test_auth","",""
"POST /user/repos without a name field returns 422.","109","test_create_repo_without_name_returns_422","tests","2026-07-29","passed","2026-07-29","TestRepositories","test_repositories","",""
"GET /users/:username/followers returns a list.","104","test_list_user_followers","tests","2026-07-29","passed","2026-07-29","TestUsers","test_users","",""
"GET /user response matches the user JSON schema.","115","test_authenticated_user_response_schema","tests","2026-07-29","passed","2026-07-29","TestUsers","test_users","",""
"Creating a repo with the same name as an existing one returns 422.","125","test_create_duplicate_repo_returns_422","tests","2026-07-29","passed","2026-07-29","TestRepositories","test_repositories","",""
"The test_issue fixture should have created an issue successfully.","0","test_create_issue_returns_201","tests","2026-07-29","passed","2026-07-29","TestIssues","test_issues","",""
"GET /users/:username with a bogus username returns 404.","68","test_get_nonexistent_user_returns_404","tests","2026-07-29","passed","2026-07-29","TestUsers","test_users","",""
"Public endpoints like /zen work without auth.","169","test_unauthenticated_public_endpoint_returns_200","tests","2026-07-29","passed","2026-07-29","TestAuthentication","test_auth","",""
"GET /users/:username/repos returns a list.","222","test_list_user_repos","tests","2026-07-29","passed","2026-07-29","TestUsers","test_users","",""
"Even unauthenticated requests include rate-limit headers.","104","test_rate_limit_headers_on_unauthenticated_request","tests","2026-07-29","passed","2026-07-29","TestAuthentication","test_auth","",""
"PATCH /user accepts a write and echoes the stored value back.

        This deliberately writes the bio back to whatever it already is, rather
        than setting a test string and restoring it afterwards.

        The earlier version set the bio to ""Updated bio from automated test"" and
        restored it on the next line. That is safe right up until the process is
        killed between those two calls - a cancelled workflow, a runner timeout,
        a rate limit - and then a real, public GitHub profile is left advertising
        that it is being written to by a test suite. On a nightly schedule that
        is several chances a week to leave it that way.

        Writing the current value back is idempotent: it exercises the same
        endpoint, the same auth, the same status code and the same response
        shape, and there is no window in which the account is in a state anyone
        has to clean up. Please do not ""improve"" this back into a mutation.
        ","477","test_patch_authenticated_user_is_accepted","tests","2026-07-29","passed","2026-07-29","TestUsers","test_users","",""
"GET /users/:username/following returns a list.","133","test_list_user_following","tests","2026-07-29","passed","2026-07-29","TestUsers","test_users","",""
"GET /repos/:owner/:repo/issues?state=closed returns only closed issues.","225","test_list_issues_filter_by_state","tests","2026-07-29","passed","2026-07-29","TestIssues","test_issues","",""
"When results are paginated, the response includes a Link header.","163","test_repos_pagination_link_header","tests","2026-07-29","passed","2026-07-29","TestRepositories","test_repositories","",""
"Repo creation fixture should have produced a valid repo name.","1","test_create_repo_returns_201","tests","2026-07-29","passed","2026-07-29","TestRepositories","test_repositories","",""
"A completely malformed Authorization header should be rejected.","105","test_malformed_auth_header_returns_401","tests","2026-07-29","passed","2026-07-29","TestAuthentication","test_auth","",""
"GET /user without any credentials returns 401.","120","test_no_auth_returns_401_for_private_endpoint","tests","2026-07-29","passed","2026-07-29","TestAuthentication","test_auth","",""
"The authenticated user payload must contain a login field.","0","test_authenticated_user_has_login","tests","2026-07-29","passed","2026-07-29","TestUsers","test_users","",""
"GET /users/:username returns the same user info.","107","test_get_user_by_username","tests","2026-07-29","passed","2026-07-29","TestUsers","test_users","",""
"GET /user/repos returns a list for authenticated users.","549","test_get_authenticated_user_repos","tests","2026-07-29","passed","2026-07-29","TestRepositories","test_repositories","",""
"Responses should return application/json content type.","339","test_response_content_type_is_json","tests","2026-07-29","passed","2026-07-29","TestRepositories","test_repositories","",""
"GET /user returns 200 for an authenticated user.","102","test_get_authenticated_user_returns_200","tests","2026-07-29","passed","2026-07-29","TestUsers","test_users","",""
"GET /repos/:owner/:repo matches the repository JSON schema.","153","test_get_repo_response_schema","tests","2026-07-29","passed","2026-07-29","TestRepositories","test_repositories","",""
"GET /repos/:owner/:repo with bogus names returns 404.","69","test_get_nonexistent_repo_returns_404","tests","2026-07-29","passed","2026-07-29","TestRepositories","test_repositories","",""
"A request with a garbage token should be rejected.","104","test_invalid_token_returns_401","tests","2026-07-29","passed","2026-07-29","TestAuthentication","test_auth","",""
"Setting per_page limits the number of repos returned.","154","test_repos_pagination_per_page","tests","2026-07-29","passed","2026-07-29","TestRepositories","test_repositories","",""
"POST /repos/:owner/:repo/issues/:number/labels adds labels.","809","test_add_label_to_issue","tests","2026-07-29","passed","2026-07-29","TestIssues","test_issues","",""
"PATCH /repos/:owner/:repo/issues/:number can update the title.","384","test_update_issue_title","tests","2026-07-29","passed","2026-07-29","TestIssues","test_issues","",""
"GET /repos/:owner/:repo/issues/99999 returns 404.","81","test_get_nonexistent_issue_returns_404","tests","2026-07-29","passed","2026-07-29","TestIssues","test_issues","",""
"GET /users/:username also matches the user JSON schema.","135","test_public_user_response_schema","tests","2026-07-29","passed","2026-07-29","TestUsers","test_users","",""
"Sanity check — a valid token should succeed.","232","test_valid_token_returns_200","tests","2026-07-29","passed","2026-07-29","TestAuthentication","test_auth","",""
"DELETE /repos/:owner/:repo returns 204 No Content.","2341","test_delete_repo_returns_204","tests","2026-07-29","passed","2026-07-29","TestRepositories","test_repositories","",""
"POST /repos/:owner/:repo/issues/:number/comments adds a comment.","384","test_add_comment_to_issue","tests","2026-07-29","passed","2026-07-29","TestIssues","test_issues","",""
"POST /repos/bad-user/bad-repo/issues returns 404.","70","test_create_issue_on_nonexistent_repo_returns_404","tests","2026-07-29","passed","2026-07-29","TestIssues","test_issues","",""
"404 responses include a message field in the body.","69","test_nonexistent_user_response_has_message","tests","2026-07-29","passed","2026-07-29","TestUsers","test_users","",""
"PATCH /repos/:owner/:repo successfully updates the description.","228","test_update_repo_description","tests","2026-07-29","passed","2026-07-29","TestRepositories","test_repositories","",""
"POST /repos/:owner/:repo/issues without a title returns 422.","112","test_create_issue_without_title_returns_422","tests","2026-07-29","passed","2026-07-29","TestIssues","test_issues","",""
"PATCH /repos/:owner/:repo/issues/:number can close an issue.","535","test_close_issue","tests","2026-07-29","passed","2026-07-29","TestIssues","test_issues","",""
