"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"POST /repos/:owner/:repo/issues without a title returns 422.","0","test_create_issue_without_title_returns_422","tests","2026-07-31","failed","2026-07-31","TestIssues","test_issues","",""
"Sanity check — a valid token should succeed.","189","test_valid_token_returns_200","tests","2026-07-31","passed","2026-07-31","TestAuthentication","test_auth","",""
"The test_issue fixture should have created an issue successfully.","0","test_create_issue_returns_201","tests","2026-07-31","passed","2026-07-31","TestIssues","test_issues","",""
"POST /user/repos without a name field returns 422.","113","test_create_repo_without_name_returns_422","tests","2026-07-31","failed","2026-07-31","TestRepositories","test_repositories","",""
"Every authenticated response should include rate-limit headers.","279","test_response_includes_rate_limit_headers","tests","2026-07-31","passed","2026-07-31","TestRepositories","test_repositories","",""
"GET /users/:username/following returns a list.","87","test_list_user_following","tests","2026-07-31","passed","2026-07-31","TestUsers","test_users","",""
"Unauthorized responses include a human-readable message.","102","test_401_response_has_message","tests","2026-07-31","passed","2026-07-31","TestAuthentication","test_auth","",""
"Public endpoints like /zen work without auth.","182","test_unauthenticated_public_endpoint_returns_200","tests","2026-07-31","passed","2026-07-31","TestAuthentication","test_auth","",""
"PATCH /user accepts a write and echoes the stored value back.

        This deliberately writes the bio back to whatever it already is, rather
        than setting a test string and restoring it afterwards.

        The earlier version set the bio to ""Updated bio from automated test"" and
        restored it on the next line. That is safe right up until the process is
        killed between those two calls - a cancelled workflow, a runner timeout,
        a rate limit - and then a real, public GitHub profile is left advertising
        that it is being written to by a test suite. On a nightly schedule that
        is several chances a week to leave it that way.

        Writing the current value back is idempotent: it exercises the same
        endpoint, the same auth, the same status code and the same response
        shape, and there is no window in which the account is in a state anyone
        has to clean up. Please do not ""improve"" this back into a mutation.
        ","499","test_patch_authenticated_user_is_accepted","tests","2026-07-31","passed","2026-07-31","TestUsers","test_users","",""
"DELETE /repos/:owner/:repo returns 204 No Content.","216","test_delete_repo_returns_204","tests","2026-07-31","failed","2026-07-31","TestRepositories","test_repositories","",""
"Repo creation fixture should have produced a valid repo name.","0","test_create_repo_returns_201","tests","2026-07-31","failed","2026-07-31","TestRepositories","test_repositories","",""
"Unauthorized responses include a documentation_url for debugging.","111","test_401_response_has_documentation_url","tests","2026-07-31","passed","2026-07-31","TestAuthentication","test_auth","",""
"A completely malformed Authorization header should be rejected.","102","test_malformed_auth_header_returns_401","tests","2026-07-31","passed","2026-07-31","TestAuthentication","test_auth","",""
"GET /user response matches the user JSON schema.","126","test_authenticated_user_response_schema","tests","2026-07-31","passed","2026-07-31","TestUsers","test_users","",""
"GET /users/:username/repos returns a list.","157","test_list_user_repos","tests","2026-07-31","passed","2026-07-31","TestUsers","test_users","",""
"The authenticated user payload must contain a login field.","0","test_authenticated_user_has_login","tests","2026-07-31","passed","2026-07-31","TestUsers","test_users","",""
